loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,application_type,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
2500,2500,2500, 36 months,13.56,84.92,C,C1,Chef,10+ years,RENT,55000,Not Verified,Dec-18,Current,n,debt_consolidation,18.24,0,Apr-01,1,,45,9,1,4341,10.3,34,w,2386.02,2386.02,167.02,167.02,113.98,53.04,0,0,0,Feb-19,84.92,Mar-19,Feb-19,0,Individual,0,16901,2,2,1,2,2,12560,69,2,7,2137,28,"42,000",10.34%,1,11,2,9,1878,34360,5.9,0,0,140,212,1,1,0,1,,2,,0,2,5,3,3,16,7,18,5,9,0,0,0,3,100,0,1,0,60124,16901,36500,18124
30000,30000,30000, 60 months,18.94,777.23,D,D2,Postmaster ,10+ years,MORTGAGE,90000,Source Verified,Dec-18,Current,n,debt_consolidation,26.52,0,Jun-87,0,71,75,13,1,12315,24.2,44,w,29387.75,29387.75,1507.11,1507.11,612.25,894.86,0,0,0,Feb-19,777.23,Mar-19,Feb-19,0,Individual,1208,321915,4,4,2,3,3,87153,88,4,5,998,57,"50,800",24.24%,2,15,2,10,24763,13761,8.3,0,0,163,378,4,3,3,4,,4,,0,2,4,4,9,27,8,14,4,13,0,0,0,6,95,0,1,0,372872,99468,15000,94072
5000,5000,5000, 36 months,17.97,180.69,D,D1,Administrative,6 years,MORTGAGE,59280,Source Verified,Dec-18,Current,n,debt_consolidation,10.51,0,Apr-11,0,,,8,0,4599,19.1,13,w,4787.21,4787.21,353.89,353.89,212.79,141.1,0,0,0,Feb-19,180.69,Mar-19,Feb-19,0,Individual,0,110299,0,1,0,2,14,7150,72,0,2,0,35,"24,100",19.08%,1,5,0,4,18383,13800,0,0,0,87,92,15,14,2,77,,14,,0,0,3,3,3,4,6,7,3,8,0,0,0,0,100,0,0,0,136927,11749,13800,10000
4000,4000,4000, 36 months,18.94,146.51,D,D2,IT Supervisor,10+ years,MORTGAGE,92000,Source Verified,Dec-18,Current,n,debt_consolidation,16.74,0,Feb-06,0,,,10,0,5468,78.1,13,w,3831.93,3831.93,286.71,286.71,168.07,118.64,0,0,0,Feb-19,146.51,Mar-19,Feb-19,0,Individual,686,305049,1,5,3,5,5,30683,68,0,0,3761,70,"7,000",78.11%,2,4,3,5,30505,1239,75.2,0,0,62,154,64,5,3,64,,5,,0,1,2,1,2,7,2,3,2,10,0,0,0,3,100,100,0,0,385183,36151,5000,44984
30000,30000,30000, 60 months,16.14,731.78,C,C4,Mechanic,10+ years,MORTGAGE,57250,Not Verified,Dec-18,Current,n,debt_consolidation,26.35,0,Dec-00,0,,,12,0,829,3.6,26,w,29339.02,29339.02,1423.21,1423.21,660.98,762.23,0,0,0,Feb-19,731.78,Mar-19,Feb-19,0,Individual,0,116007,3,5,3,5,4,28845,89,2,4,516,54,"23,100",3.59%,1,0,0,9,9667,8471,8.9,0,0,53,216,2,2,2,2,,13,,0,2,2,3,8,9,6,15,2,12,0,0,0,5,92.3,0,0,0,157548,29674,9300,32332
5550,5550,5550, 36 months,15.02,192.45,C,C3,Director COE,10+ years,MORTGAGE,152500,Not Verified,Dec-18,Current,n,credit_card,37.94,0,Sep-02,3,,,18,0,53854,48.1,44,w,5302.5,5302.5,377.95,377.95,247.5,130.45,0,0,0,Feb-19,192.45,Mar-19,Feb-19,0,Individual,0,685749,1,7,2,3,4,131524,72,1,4,17584,58,"111,900",48.13%,2,4,6,8,40338,23746,64,0,0,195,176,10,4,6,20,,3,,0,4,6,6,10,23,9,15,7,18,0,0,0,4,100,60,0,0,831687,185378,65900,203159
2000,2000,2000, 36 months,17.97,72.28,D,D1,Account Manager,4 years,RENT,51000,Source Verified,Dec-18,Current,n,debt_consolidation,2.4,0,Nov-04,1,,,1,0,0,,9,w,1914.71,1914.71,141.56,141.56,85.29,56.27,0,0,0,Feb-19,72.28,Mar-19,Feb-19,0,Individual,0,854,0,0,2,3,7,0,,0,1,0,100,0,#DIV/0!,0,0,1,4,854,,,0,0,169,40,23,7,0,,,1,,0,0,0,0,3,5,0,3,0,1,0,0,0,2,100,,0,0,854,854,0,0
6000,6000,6000, 36 months,13.56,203.79,C,C1,Assistant Director,10+ years,RENT,65000,Source Verified,Dec-18,Current,n,credit_card,30.1,0,Nov-97,0,,,19,0,38476,69.3,37,w,5864.01,5864.01,201.53,201.53,135.99,65.54,0,0,0,Feb-19,208.31,Mar-19,Feb-19,0,Individual,0,91535,0,5,0,1,23,53059,87,0,2,9413,74,"55,500",69.33%,1,2,0,3,5085,3034,90.8,0,0,169,253,13,13,1,14,,13,,0,7,12,8,10,15,14,20,12,19,0,0,0,0,100,85.7,0,0,117242,91535,33100,61742
5000,5000,5000, 36 months,17.97,180.69,D,D1,Legal Assistant III,10+ years,MORTGAGE,53580,Source Verified,Dec-18,Current,n,debt_consolidation,21.16,0,Aug-98,1,32,,8,0,8018,35.2,38,w,4786.79,4786.79,353.89,353.89,213.21,140.68,0,0,0,Feb-19,180.69,Mar-19,Feb-19,0,Individual,0,41882,5,2,5,5,3,33864,98,1,6,3132,73,"22,800",35.17%,2,1,4,12,5235,13786,35.9,0,0,145,244,6,3,3,6,33,2,32,2,4,5,5,10,20,6,15,5,8,0,0,0,6,78.9,60,0,0,57426,41882,21500,34626
6000,6000,6000, 36 months,14.47,206.44,C,C2,,< 1 year,OWN,300000,Not Verified,Dec-18,Current,n,debt_consolidation,17.43,1,Apr-02,1,17,,38,0,65950,49.8,58,w,5730.2,5730.2,405.64,405.64,269.8,135.84,0,0,0,Feb-19,206.44,Mar-19,Feb-19,0,Individual,0,349502,1,4,1,3,7,39961,45,1,12,15926,48,"132,500",49.77%,2,2,2,15,9197,38683,60.6,0,0,166,200,4,4,1,4,,4,17,0,16,20,19,26,9,33,48,20,38,0,0,0,2,100,26.3,0,0,477390,105911,98300,89600
