loan_amnt,funded_amnt,pub_rec,mo_sin_old_rev_tl_op,inq_last_6mths,num_actv_bc_tl,num_actv_rev_tl,open_act_il,revol_bal,total_rev_hi_lim,int_rate
2500,2500,1,212,1,2,5,2,4341,42000,13.56
30000,30000,1,378,0,2,4,4,12315,50800,18.94
5000,5000,0,92,0,0,3,1,4599,24100,17.97
4000,4000,0,154,0,1,2,5,5468,7000,18.94
30000,30000,0,216,0,2,2,5,829,23100,16.14
5550,5550,0,176,3,4,6,7,53854,111900,15.02
2000,2000,0,40,1,0,0,0,0,0,17.97
6000,6000,0,253,0,7,12,5,38476,55500,13.56
5000,5000,0,244,1,4,5,2,8018,22800,17.97
6000,6000,0,200,1,16,20,4,65950,132500,14.47
5500,5500,0,105,0,3,3,2,4529,4800,22.35
28000,28000,0,165,1,5,5,1,56152,100400,11.31
11200,11200,0,186,0,4,5,8,8836,53100,8.19
6500,6500,0,74,0,5,19,8,23754,39300,17.97
22000,22000,0,341,0,1,2,1,134,29500,12.98
3500,3500,0,360,0,1,3,2,8952,15300,16.14
7000,7000,0,192,0,0,2,4,1057,14700,12.98
25000,25000,0,98,0,1,3,0,3044,5600,16.91
16000,16000,0,146,0,2,4,6,18826,22900,20.89
13000,13000,0,214,1,3,3,5,15551,26700,14.47
10000,10000,1,142,1,5,6,5,9765,13200,13.56
13000,13000,0,206,0,3,4,1,13478,16400,14.47
9600,9600,0,92,0,7,9,2,10678,28500,23.4
3500,3500,0,170,1,1,2,1,1944,5800,20.89
16000,16000,0,99,1,6,11,1,22872,34900,26.31
15000,15000,0,230,0,4,13,1,20049,53900,14.47
13000,13000,0,139,0,6,7,7,52013,62600,23.4
23000,23000,0,262,0,0,1,0,976,7500,20.89
8000,8000,1,287,0,1,4,3,9019,11100,23.4
32075,32075,0,70,0,4,10,4,19077,59600,11.8
12000,12000,0,149,2,5,6,1,23195,41800,13.56
10000,10000,0,164,0,2,8,2,13198,17900,19.92
16000,16000,0,158,1,2,2,8,7326,29500,17.97
3300,3300,0,79,1,2,3,2,2358,8900,23.4
20000,20000,0,54,0,5,5,0,14134,16800,11.8
3500,3500,0,138,0,4,7,1,5072,7300,20.89
12000,12000,0,268,0,2,5,1,13467,19100,26.31
10000,10000,0,43,1,5,6,2,10669,25700,20.89
6000,6000,0,229,1,2,3,2,7313,24500,6.46
25000,25000,0,148,1,1,2,5,19599,26000,27.27
20000,20000,0,247,0,4,6,2,30052,34000,12.98
2200,2200,0,133,0,2,2,4,1012,1300,15.02
25000,25000,0,79,0,0,3,0,26258,31500,17.97
4000,4000,0,56,0,3,4,1,1045,26900,11.8
1250,1250,0,95,2,4,7,0,8050,27900,23.4
10400,10400,1,57,2,3,3,2,1669,17000,12.98
7500,7500,0,146,0,3,3,3,7144,16200,11.8
7000,7000,0,66,1,1,1,14,1988,26600,10.72
25000,25000,0,232,0,3,3,1,14231,59800,12.98
8000,8000,0,324,1,5,7,3,29038,61500,11.8
9000,9000,0,121,2,4,4,1,7871,25300,10.33
9600,9600,0,115,1,6,9,3,16424,22500,15.02
8000,8000,0,141,0,1,4,3,16255,32300,10.72
12000,12000,0,49,0,2,6,2,7188,14300,16.14
20000,20000,0,284,0,5,14,2,17101,35900,13.56
40000,40000,0,317,1,4,7,5,306893,349200,14.47
14400,14400,1,148,1,2,3,1,20451,31300,14.47
22400,22400,0,362,0,3,5,2,13929,33400,8.81
25000,25000,0,166,0,6,12,2,23635,48200,10.33
26000,26000,0,189,0,1,1,1,1372,7700,18.94
25000,25000,1,182,0,1,4,2,7742,18900,15.02
1000,1000,0,173,0,2,2,2,9833,9900,30.75
2000,2000,0,160,0,5,8,3,14865,31700,8.19
9000,9000,0,80,0,5,6,3,6385,40800,6.46
20000,20000,1,138,1,3,5,1,9382,48700,13.56
29450,29450,0,340,0,2,2,2,19313,27600,8.19
34625,34625,0,336,1,6,9,7,60229,98000,16.14
31450,31450,0,257,0,4,6,0,65911,104400,7.56
15500,15500,0,134,0,6,8,1,13496,39800,10.72
12000,12000,0,363,2,4,11,8,4957,17800,11.8
36000,36000,0,74,1,7,7,14,31228,76800,17.97
30000,30000,0,238,1,4,5,3,32317,38300,16.14
3000,3000,1,136,2,5,7,4,8271,30400,17.97
35000,35000,0,172,1,6,8,1,57501,65400,12.98
26500,26500,0,144,2,8,10,3,43640,66700,11.31
4000,4000,0,118,4,5,7,4,5199,27100,23.4
12000,12000,0,75,0,3,6,2,9238,22200,22.35
3000,3000,0,140,0,4,7,4,11026,22200,15.02
8000,8000,0,53,1,3,4,3,8284,39400,14.47
10250,10250,0,145,0,0,1,8,153,3700,10.72
22400,22400,0,168,0,5,7,3,13555,35500,16.14
27000,27000,0,146,0,6,8,1,12903,19900,15.02
24000,24000,0,225,2,7,11,2,14906,25200,19.92
6500,6500,0,57,2,4,6,1,5724,14200,10.72
25000,25000,0,190,0,4,4,3,28594,59300,16.91
8000,8000,1,195,2,3,12,2,14156,39400,10.72
21000,21000,3,136,0,0,0,1,0,2300,15.02
10000,10000,0,174,3,5,11,0,10299,17700,14.47
7500,7500,0,49,0,5,5,2,8064,23900,16.14
30000,30000,0,335,0,4,4,1,17964,46800,16.91
3775,3775,1,244,0,2,3,1,2130,5300,13.56
5600,5600,0,363,0,2,2,1,14651,16800,11.31
6000,6000,0,124,0,2,2,0,5580,53800,16.14
16000,16000,0,120,0,5,7,2,10108,15500,15.02
15000,15000,0,118,1,3,7,2,5311,10800,16.14
